Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,63
Absentee by Mail,ICC-Absentee by Mail - 9,50
Absentee by Mail,ICC-Absentee by Mail - 16,50
Absentee by Mail,ICC-Absentee by Mail - 17,50
Absentee by Mail,ICC-Absentee by Mail - 18,50
Absentee by Mail,ICC-Absentee by Mail - 19,50
Absentee by Mail,ICC-Absentee by Mail - 15,50
Absentee by Mail,ICC-Absentee by Mail - 14,49
Absentee by Mail,ICC-Absentee by Mail - 10,50
Absentee by Mail,ICC-Absentee by Mail - 11,50
Absentee by Mail,ICC-Absentee by Mail - 12,49
Absentee by Mail,ICC-Absentee by Mail - 13,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 20,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 7,50
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 4,49
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 21,49
Absentee by Mail,ICC-Absentee by Mail - 22,50
Absentee by Mail,ICC-Absentee by Mail - 23,50
Absentee by Mail,ICC-Absentee by Mail - 24,48
Absentee by Mail,ICC-Absentee by Mail - 30,50
Absentee by Mail,ICC-Absentee by Mail - 33,9
Absentee by Mail,ICC-Absentee by Mail - 32,5
Absentee by Mail,ICC-Absentee by Mail - 31,3
Absentee by Mail,ICC-Absentee by Mail - 27,50
Absentee by Mail,ICC-Absentee by Mail - 26,15
Absentee by Mail,ICC-Absentee by Mail - 28,50
Absentee by Mail,ICC-Absentee by Mail - 29,46
Absentee by Mail,ICC-Absentee by Mail - 34,1
Absentee by Mail,ICC-Absentee by Mail - 25,2
Absentee by Mail,ICC-Absentee by Mail - 35,2
Advance Voting,AV-Athletics Hall of Fame  ICP 1 - 0,4294
Advance Voting,AV-Athletics Hall of Fame  ICP 2 - 0,3135
Election Day,ED-07  ICP 1 - 0,657
Election Day,ED-11  ICP 1 - 0,900
Election Day,ED-09  ICP 1 - 0,645
Election Day,ED-16  ICP 1 - 0,912
Election Day,ED-13  ICP 1 - 0,873
Election Day,ED-08  ICP 1 - 0,580
Election Day,ED-21  ICP 1 - 0,1227
Election Day,ED-20  ICP 1 - 0,803
Election Day,ED-05  ICP 1 - 0,737
Election Day,ED-06  ICP 1 - 0,381
Election Day,ED-10  ICP 1 - 0,643
Election Day,ED-03  ICP 1 - 0,854
Election Day,ED-19  ICP 1 - 0,835
Election Day,ED-01  ICP 1 - 0,345
Election Day,ED-02  ICP 1 - 0,367
Election Day,ED-12  ICP 1 - 0,808
Election Day,ED-14  ICP 1 - 0,596
Election Day,ED-17  ICP 1 - 0,503
Absentee by Mail,ICC-Absentee by Mail - 36,4
Provisional,ICC-Provisional - 1,5
Provisional,ICC-Provisional - 2,1
