Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 1,50
Absentee by Mail,ICC - Absentee By Mail - 2,46
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 6,50
Absentee by Mail,ICC - Absentee By Mail - 7,50
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 9,50
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 11,50
Absentee by Mail,ICC - Absentee By Mail - 12,50
Absentee by Mail,ICC - Absentee By Mail - 13,50
Absentee by Mail,ICC - Absentee By Mail - 14,49
Absentee by Mail,ICC - Absentee By Mail - 15,52
Absentee by Mail,ICC - Absentee By Mail - 16,49
Absentee by Mail,ICC - Absentee By Mail - 17,50
Absentee by Mail,ICC - Absentee By Mail - 18,50
Absentee by Mail,ICC - Absentee By Mail - 19,49
Absentee by Mail,ICC - Absentee By Mail - 20,49
Absentee by Mail,ICC - Absentee By Mail - 21,48
Absentee by Mail,ICC - Absentee By Mail - 22,50
Absentee by Mail,ICC - Absentee By Mail - 23,49
Absentee by Mail,ICC - Absentee By Mail - 24,50
Absentee by Mail,ICC - Absentee By Mail - 25,51
Absentee by Mail,ICC - Absentee By Mail - 26,50
Absentee by Mail,ICC - Absentee By Mail - 27,50
Absentee by Mail,ICC - Absentee By Mail - 28,50
Absentee by Mail,ICC - Absentee By Mail - 29,43
Absentee by Mail,ICC - Absentee By Mail - 30,50
Absentee by Mail,ICC - Absentee By Mail - 31,50
Absentee by Mail,ICC - Absentee By Mail - 32,50
Absentee by Mail,ICC - Absentee By Mail - 33,50
Absentee by Mail,ICC - Absentee By Mail - 34,50
Absentee by Mail,ICC - Absentee By Mail - 35,50
Absentee by Mail,ICC - Absentee By Mail - 36,50
Absentee by Mail,ICC - Absentee By Mail - 37,50
Absentee by Mail,ICC - Absentee By Mail - 38,49
Absentee by Mail,ICC - Absentee By Mail - 39,43
Absentee by Mail,ICC - Absentee By Mail - 40,13
Absentee by Mail,ICC - Absentee By Mail - 41,98
Absentee by Mail,ICC - Absentee By Mail - 42,50
Absentee by Mail,ICC - Absentee By Mail - 43,52
Absentee by Mail,ICC - Absentee By Mail - 44,50
Absentee by Mail,ICC - Absentee By Mail - 45,48
Absentee by Mail,ICC - Absentee By Mail - 46,50
Absentee by Mail,ICC - Absentee By Mail - 47,50
Absentee by Mail,ICC - Absentee By Mail - 48,50
Absentee by Mail,ICC - Absentee By Mail - 49,50
Absentee by Mail,ICC - Absentee By Mail - 50,50
Absentee by Mail,ICC - Absentee By Mail - 51,46
Absentee by Mail,ICC - Absentee By Mail - 52,48
Absentee by Mail,ICC - Absentee By Mail - 53,28
Absentee by Mail,ICC - Absentee By Mail - 54,25
Absentee by Mail,ICC - Absentee By Mail - 55,25
Absentee by Mail,ICC - Absentee By Mail - 56,25
Absentee by Mail,ICC - Absentee By Mail - 57,26
Absentee by Mail,ICC - Absentee By Mail - 58,3
Absentee by Mail,ICC - Absentee By Mail - 59,13
Absentee by Mail,ICC - Absentee By Mail - 60,12
Advanced Voting,AV-Tyrone Rec Office ICP 1 - 0,5395
Advanced Voting,AV-Elections Office ICP 1 - 0,6471
Advanced Voting,AV-Fayette Public Library ICP 1 - 0,4850
Advanced Voting,AV-Peachtree City Library ICP 1 - 0,7200
Election Day,ED-Hopeful ICP 1 - 0,644
Election Day,ED-Fayetteville East ICP 1 - 0,422
Election Day,ED-Whitewater ICP 1 - 0,1150
Election Day,ED-Jeff Davis ICP 1 - 0,550
Election Day,ED-Spring Hill ICP 1 - 0,721
Election Day,ED-McIntosh ICP 1 - 0,963
Election Day,ED-Fayetteville West ICP 1 - 0,507
Election Day,ED-Kenwood ICP 1 - 0,308
Election Day,ED-Morning Creek ICP 1 - 0,789
Election Day,ED-Woolsey ICP 1 - 0,1100
Election Day,ED-Banks ICP 1 - 0,462
Election Day,ED-Aberdeen ICP 1 - 0,555
Election Day,ED-Dogwood ICP 1 - 0,932
Election Day,ED-Antioch ICP 1 - 0,687
Election Day,ED-Flint ICP 1 - 0,506
Election Day,ED-Willow Pond ICP 1 - 0,878
Election Day,ED-Fielding Ridge ICP 1 - 0,1092
Election Day,ED-Flat Creek ICP 1 - 0,577
Election Day,ED-Oak Grove ICP 1 - 0,509
Election Day,ED-Europe ICP 1 - 0,774
Election Day,ED-Murphy ICP 1 - 0,904
Election Day,ED-Windgate ICP 1 - 0,378
Election Day,ED-Shakerag West ICP 1 - 0,340
Election Day,ED-Rareover ICP 1 - 0,713
Election Day,ED-Rising Star ICP 1 - 0,1165
Election Day,ED-Sandy Creek ICP 1 - 0,1049
Election Day,ED-Starrsmill ICP 1 - 0,1247
Election Day,ED-Willowbend ICP 1 - 0,588
Election Day,ED-Brooks ICP 1 - 0,1334
Election Day,ED-Shakerag East ICP 1 - 0,584
Election Day,ED-Harps Crossing ICP 1 - 0,603
Election Day,ED-Camp Creek ICP 1 - 0,580
Election Day,ED-Kedron ICP 1 - 0,1452
Election Day,ED-Blackrock ICP 1 - 0,627
Election Day,ED-Oak Ridge ICP 1 - 0,629
Election Day,ED-Braelinn ICP 1 - 0,688
Absentee by Mail,ICC - Absentee By Mail - 61,4
Absentee by Mail,ICC - Absentee By Mail - 62,1
Provisional,ICC - Provisional - 1,23
