Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,20
Absentee by Mail,Absentee By Mail ICC - 2,20
Absentee by Mail,Absentee By Mail ICC - 3,20
Absentee by Mail,Absentee By Mail ICC - 4,20
Absentee by Mail,Absentee By Mail ICC - 5,20
Absentee by Mail,Absentee By Mail ICC - 6,6
Absentee by Mail,Absentee By Mail ICC - 7,11
Election Day,ED-Douglas ICP 1 - 0,534
Election Day,ED-Douglas ICP 2 - 0,532
Advance Voting,AV-Elections Office ICP 2 - 0,1153
Advance Voting,AV-Elections Office ICP 1 - 0,1156
Provisional,Provisional ICC - 1,1
