Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 16,25
Absentee by Mail,ICC-Absentee by Mail - 9,25
Absentee by Mail,ICC-Absentee by Mail - 18,25
Absentee by Mail,ICC-Absentee by Mail - 19,25
Absentee by Mail,ICC-Absentee by Mail - 17,25
Absentee by Mail,ICC-Absentee by Mail - 10,25
Absentee by Mail,ICC-Absentee by Mail - 11,25
Absentee by Mail,ICC-Absentee by Mail - 14,25
Absentee by Mail,ICC-Absentee by Mail - 15,25
Absentee by Mail,ICC-Absentee by Mail - 12,26
Absentee by Mail,ICC-Absentee by Mail - 13,25
Absentee by Mail,ICC-Absentee by Mail - 20,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 6,25
Absentee by Mail,ICC-Absentee by Mail - 5,25
Absentee by Mail,ICC-Absentee by Mail - 7,25
Absentee by Mail,ICC-Absentee by Mail - 8,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 21,25
Absentee by Mail,ICC-Absentee by Mail - 22,24
Absentee by Mail,ICC-Absentee by Mail - 23,25
Absentee by Mail,ICC-Absentee by Mail - 24,28
Absentee by Mail,ICC-Absentee by Mail - 1,25
Advanced Voting,AV-Dearing Comm Center ICP 1 - 0,1009
Advanced Voting,AV-Precinct on Main ICP 1 - 0,2869
Advanced Voting,AV-Precinct on Main ICP 2 - 0,808
Absentee by Mail,ICC-Absentee by Mail - 25,22
Election Day,NMcDuffie-Cedar Rock-Depot-Sweetwater-White Oak ICP 2 - 0,424
Election Day,NMcDuffie-Cedar Rock-Depot-Sweetwater-White Oak ICP 1 - 0,1384
Election Day,Dearing-Fort Creek ICP 1 - 0,599
Absentee by Mail,ICC-Absentee by Mail - 26,1
