Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office - ICP 1 - 0,3450
Elections Day,ED-Sandersville ICP 2 - 0,565
Elections Day,ED-Sandersville ICP 1 - 0,605
Elections Day,ED-Deepstep ICP 1 - 0,229
Absentee by Mail,ICC - Absentee by Mail - 1,25
Absentee by Mail,ICC - Absentee by Mail - 9,25
Absentee by Mail,ICC - Absentee by Mail - 16,25
Absentee by Mail,ICC - Absentee by Mail - 17,25
Absentee by Mail,ICC - Absentee by Mail - 18,25
Absentee by Mail,ICC - Absentee by Mail - 19,38
Absentee by Mail,ICC - Absentee by Mail - 15,25
Absentee by Mail,ICC - Absentee by Mail - 14,25
Absentee by Mail,ICC - Absentee by Mail - 10,25
Absentee by Mail,ICC - Absentee by Mail - 11,23
Absentee by Mail,ICC - Absentee by Mail - 12,25
Absentee by Mail,ICC - Absentee by Mail - 13,25
Absentee by Mail,ICC - Absentee by Mail - 2,25
Absentee by Mail,ICC - Absentee by Mail - 20,25
Absentee by Mail,ICC - Absentee by Mail - 5,25
Absentee by Mail,ICC - Absentee by Mail - 6,25
Absentee by Mail,ICC - Absentee by Mail - 7,25
Absentee by Mail,ICC - Absentee by Mail - 8,25
Absentee by Mail,ICC - Absentee by Mail - 4,25
Absentee by Mail,ICC - Absentee by Mail - 3,24
Absentee by Mail,ICC - Absentee by Mail - 21,1
Absentee by Mail,ICC - Absentee by Mail - 22,25
Absentee by Mail,ICC - Absentee by Mail - 23,25
Absentee by Mail,ICC - Absentee by Mail - 24,25
Elections Day,ED-Riddleville ICP 1 - 0,225
Elections Day,ED-Tennille ICP 1 - 0,632
Elections Day,ED-Oconee ICP 1 - 0,226
Elections Day,ED-Davisboro ICP 1 - 0,291
Elections Day,ED-Warthen ICP 1 - 0,308
Elections Day,ED-Harrison ICP 1 - 0,316
Absentee by Mail,ICC - Absentee by Mail - 25,2
Provisional,ICC - Provisional - 1,1
